iter	Passed	Remaining
675	305504	146425
676	305930	145960
677	306394	145514
678	306883	145080
679	307316	144619
680	307763	144165
681	308273	143740
682	308711	143282
683	309205	142849
684	309582	142362
685	310032	141909
686	310535	141481
687	311069	141066
688	311578	140639
689	312004	140175
690	312473	139731
691	312879	139258
692	313283	138784
693	313712	138323
694	314193	137883
695	314579	137402
696	315080	136971
697	315540	136523
698	315917	136038
699	316286	135551
700	316833	135140
701	317246	134671
702	317725	134231
703	318233	133802
704	318753	133379
705	319142	132900
706	319512	132414
707	319984	131971
708	320372	131492
709	320836	131045
710	321317	130605
711	321764	130152
712	322319	129741
713	322742	129277
714	323207	128830
715	323652	128376
716	324146	127940
717	324610	127493
718	325051	127037
719	325498	126582
720	325926	126121
721	326361	125662
722	326812	125210
723	327193	124731
724	327661	124285
725	328184	123860
726	328591	123391
727	329025	122932
728	329521	122496
729	329996	122053
730	330479	121612
731	330885	121143
732	331323	120686
733	331773	120234
734	332199	119772
735	332557	119286
736	332910	118799
737	333356	118346
738	333819	117898
739	334255	117441
740	334695	116985
741	335237	116564
742	335652	116100
743	336029	115622
744	336560	115198
745	337042	114757
746	337445	114288
747	337916	113843
748	338404	113404
749	338911	112970
750	339325	112506
751	339776	112053
752	340271	111616
753	340725	111165
754	341182	110714
755	341542	110233
756	342067	109805
757	342521	109353
758	342968	108900
759	343381	108436
760	343898	108005
761	344357	107555
762	344887	107127
763	345334	106673
764	345766	106215
765	346181	105752
766	346681	105315
767	347162	104872
768	347596	104414
769	348038	103959
770	348523	103517
771	348977	103065
772	349448	102619
773	349859	102155
774	350362	101718
775	350889	101287
776	351381	100847
777	351852	100400
778	352305	99948
779	352756	99495
780	353206	99042
781	353607	98576
782	354066	98125
783	354558	97684
784	355007	97231
785	355399	96762
786	355777	96290
787	356147	95816
788	356582	95359
789	357037	94908
790	357499	94459
791	357909	93996
792	358328	93536
793	358653	93051
794	359099	92598
795	359480	92128
796	359967	91685
797	360398	91228
798	360803	90765
799	361292	90323
800	361702	89861
801	362145	89407
802	362644	88967
803	363039	88502
804	363480	88047
805	363924	87594
806	364425	87154
807	364845	86696
808	365402	86269
809	365756	85794
810	366223	85346
811	366677	84895
812	367112	84440
813	367573	83990
814	368017	83537
815	368492	83091
816	368903	82630
817	369352	82178
818	369874	81742
819	370320	81289
820	370815	80847
821	371273	80397
822	371731	79947
823	372146	79487
824	372596	79035
825	373089	78592
826	373555	78143
827	373939	77678
828	374359	77220
829	374795	76765
830	375157	76295
831	375662	75854
832	376205	75421
833	376569	74952
834	377020	74501
835	377567	74068
836	378016	73616
837	378514	73173
838	378953	72719
839	379524	72290
840	380067	71855
841	380477	71396
842	380948	70947
843	381368	70489
844	381828	70039
845	382259	69583
846	382691	69128
847	383100	68668
848	383640	68232
849	384046	67772
850	384483	67318
851	384824	66847
852	385380	66413
853	385890	65971
854	386358	65522
855	386789	65067
856	387257	64618
857	387681	64161
858	388112	63706
859	388562	63254
860	389052	62808
861	389482	62353
862	389957	61905
863	390453	61460
864	390902	61007
865	391306	60548
866	391737	60093
867	392221	59646
868	392705	59199
869	393093	58738
870	393577	58291
871	394018	57837
872	394488	57388
873	394853	56923
874	395317	56473
875	395778	56023
876	396268	55577
877	396793	55135
878	397284	54688
879	397807	54246
880	398167	53782
881	398535	53318
882	398948	52861
883	399363	52405
884	399855	51958
885	400352	51512
886	400806	51060
887	401208	50602
888	401647	50149
889	402159	49705
890	402696	49263
891	403138	48810
892	403651	48365
893	404120	47915
894	404581	47464
895	404997	47008
896	405364	46546
897	405772	46090
898	406169	45631
899	406696	45188
900	407128	44734
901	407611	44286
902	408044	43832
903	408540	43384
904	408961	42929
905	409382	42474
906	409896	42029
907	410354	41577
908	410820	41127
909	411278	40675
910	411812	40231
911	412181	39771
912	412621	39318
913	413002	38860
914	413450	38407
915	413862	37952
916	414335	37502
917	414855	37056
918	415340	36607
919	415792	36155
920	416206	35700
921	416721	35254
922	417195	34803
923	417676	34354
924	418118	33901
925	418468	33441
926	418966	32993
927	419478	32545
928	419952	32095
929	420394	31642
930	420865	31191
931	421267	30736
932	421886	30296
933	422272	29839
934	422774	29390
935	423228	28938
936	423732	28490
937	424107	28032
938	424638	27585
939	425097	27133
940	425509	26679
941	425953	26226
942	426391	25773
943	426873	25323
944	427395	24874
945	427903	24425
946	428325	23971
947	428784	23519
948	429210	23066
949	429733	22617
950	430221	22167
951	430847	21723
952	431323	21271
953	431776	20819
954	432232	20366
955	432766	19918
956	433271	19467
957	433733	19015
958	434243	18565
959	434735	18113
960	435126	17658
961	435572	17205
962	436031	16753
963	436456	16299
964	437004	15849
965	437489	15398
966	437937	14945
967	438398	14492
968	438824	14038
969	439223	13584
970	439753	13133
971	440100	12677
972	440565	12225
973	440963	11771
974	441444	11319
975	441910	10866
976	442394	10414
977	442871	9962
978	443274	9508
979	443727	9055
980	444186	8602
981	444649	8150
982	445169	7698
983	445666	7246
984	446122	6793
985	446563	6340
986	446998	5887
987	447453	5434
988	447896	4981
989	448309	4528
990	448818	4076
991	449178	3622
992	449591	3169
993	450020	2716
994	450405	2263
995	450918	1810
996	451346	1358
997	451770	905
998	452295	452
999	452831	0
