iter	MultiClass
0	1.884913906
1	1.832013566
2	1.793725053
3	1.765431458
4	1.734291883
5	1.709653488
6	1.688421572
7	1.665395523
8	1.649455997
9	1.635011896
10	1.618154162
11	1.60567349
12	1.593767824
13	1.582977815
14	1.571715726
15	1.563299653
16	1.553140608
17	1.539821629
18	1.533229927
19	1.526041261
20	1.515816273
21	1.506558598
22	1.496123476
23	1.49025345
24	1.485315454
25	1.475786217
26	1.468674076
27	1.464543049
28	1.457113477
29	1.451341555
30	1.446791865
31	1.439521873
32	1.436543074
33	1.43093082
34	1.425907152
35	1.422474752
36	1.419949688
37	1.417292271
38	1.413697556
39	1.410419569
40	1.406433583
41	1.399288487
42	1.396810246
43	1.394586965
44	1.390512918
45	1.387601438
46	1.383232387
47	1.378871672
48	1.375527225
49	1.372967487
50	1.370420896
51	1.368102017
52	1.365796168
53	1.361742185
54	1.360259654
55	1.357677849
56	1.354677257
57	1.351464002
58	1.347231739
59	1.34424742
60	1.342423728
61	1.340990498
62	1.337562902
63	1.33572989
64	1.332187745
65	1.330617154
66	1.328423116
67	1.326182757
68	1.322903508
69	1.321678789
70	1.318916628
71	1.317991403
72	1.315726629
73	1.314402985
74	1.313006652
75	1.310535125
76	1.309197788
77	1.308046703
78	1.305639851
79	1.30395986
80	1.302124944
81	1.299489435
82	1.297807221
83	1.296427585
84	1.295474338
85	1.293974588
86	1.29290692
87	1.292085182
88	1.289535018
89	1.287933745
90	1.286971436
91	1.284770379
92	1.283765831
93	1.282165764
94	1.280048391
95	1.278546887
96	1.277634171
97	1.276463855
98	1.275462848
99	1.274725857
100	1.274028231
101	1.272589248
102	1.271008153
103	1.270067658
104	1.26937898
105	1.26801507
106	1.266836036
107	1.265295748
108	1.264349781
109	1.263188678
110	1.262230954
111	1.261215118
112	1.260539881
113	1.259630483
114	1.258414651
115	1.257554684
116	1.256029964
117	1.255516856
118	1.254810595
119	1.25318949
120	1.251610211
121	1.250493045
122	1.249673476
123	1.248900757
124	1.248056297
125	1.247206347
126	1.246451837
127	1.245768063
128	1.24481349
129	1.244222923
130	1.243307838
131	1.241877415
132	1.241274122
133	1.240915411
134	1.240448312
135	1.239890693
136	1.239104668
137	1.238117237
138	1.237101342
139	1.236067536
140	1.235577587
141	1.234713079
142	1.233603443
143	1.233065184
144	1.232085683
145	1.231136228
146	1.230486569
147	1.230116557
148	1.229436355
149	1.228726949
150	1.228191658
151	1.22736461
152	1.226637958
153	1.225889211
154	1.224930295
155	1.223510967
156	1.222861563
157	1.221594248
158	1.22094642
159	1.220552785
160	1.2202215
161	1.219805677
162	1.219286312
163	1.218499293
164	1.217844053
165	1.21726875
166	1.216644969
167	1.215838459
168	1.215273672
169	1.214702436
170	1.213790651
171	1.213353571
172	1.212304838
173	1.211706536
174	1.211326351
175	1.211011543
176	1.210372452
177	1.209869385
178	1.209012172
179	1.208339553
180	1.207580309
181	1.206911177
182	1.206322265
183	1.205870925
184	1.205490896
185	1.205030755
186	1.204504903
187	1.203892997
188	1.203278454
189	1.202328213
190	1.20178373
191	1.201409668
192	1.200743136
193	1.200359243
194	1.199588704
195	1.198949916
196	1.198493822
197	1.197823329
198	1.197404716
199	1.197017535
200	1.196638889
201	1.196346776
202	1.196072746
203	1.19572033
204	1.195464742
205	1.194882149
206	1.194203795
207	1.193825358
208	1.193235284
209	1.192786495
210	1.192439585
211	1.192223404
212	1.191827357
213	1.191068626
214	1.190688675
215	1.190235174
216	1.1897985
217	1.189086811
218	1.188765928
219	1.188266879
220	1.187780597
221	1.187455464
222	1.186942223
223	1.186573126
224	1.186165081
225	1.185704385
226	1.18504024
227	1.184792369
228	1.184306129
229	1.184058873
230	1.183602611
231	1.183279336
232	1.182769795
233	1.18245202
234	1.182047683
235	1.181692302
236	1.181325053
237	1.180965544
238	1.180516699
239	1.180164916
240	1.179783963
241	1.179498915
242	1.179074194
243	1.178833131
244	1.178592907
245	1.178399376
246	1.177990146
247	1.177710184
248	1.177341405
249	1.17666139
250	1.176294043
251	1.175747458
252	1.175205776
253	1.174686614
254	1.174375935
255	1.174038758
256	1.173620723
257	1.173265093
258	1.173057092
259	1.17273926
260	1.172259092
261	1.172024278
262	1.171885397
263	1.171574468
264	1.17111292
265	1.17073087
266	1.170201039
267	1.169929892
268	1.169581965
269	1.169209855
270	1.168986614
271	1.168418345
272	1.168018717
273	1.167764857
274	1.167507436
275	1.167073431
276	1.16689965
277	1.166545429
278	1.166212668
279	1.165876564
280	1.165484122
281	1.165093756
282	1.16480576
283	1.164526619
284	1.163997876
285	1.163604249
286	1.163402137
287	1.163042512
288	1.162815701
289	1.162708353
290	1.162402841
291	1.162005473
292	1.161572082
293	1.161157552
294	1.1609163
295	1.160742871
296	1.160521053
297	1.160176347
298	1.159615711
299	1.159418677
300	1.159179111
301	1.158853505
302	1.158615202
303	1.158316137
304	1.158101468
305	1.157780626
306	1.157586132
307	1.15742675
308	1.157149994
309	1.156942011
310	1.15679806
311	1.156508782
312	1.156203246
313	1.155925696
314	1.155631349
315	1.15518845
316	1.154943219
317	1.15456186
318	1.154312127
319	1.154036288
320	1.153592605
321	1.153283394
322	1.153129119
323	1.152935233
324	1.152766831
325	1.152552509
326	1.152422435
327	1.152093496
328	1.151629287
329	1.151463619
330	1.151084053
331	1.150786605
332	1.150494419
333	1.15001731
334	1.149672788
335	1.149402425
336	1.149067963
337	1.148871271
338	1.148597499
339	1.14829045
340	1.1480061
341	1.147640521
342	1.147329906
343	1.147042925
344	1.146770367
345	1.146241619
346	1.145971529
347	1.14582995
348	1.145534399
349	1.145314677
350	1.145098371
351	1.144988389
352	1.144760003
353	1.144526098
354	1.144305927
355	1.1441734
356	1.144011614
357	1.143554099
358	1.143238702
359	1.143050733
360	1.142744335
361	1.142606405
362	1.142433909
363	1.142207182
364	1.14211546
365	1.14172761
366	1.141539728
367	1.141275998
368	1.140948044
369	1.140750854
370	1.140619537
371	1.140328134
372	1.139882643
373	1.1395349
374	1.139332699
375	1.139142254
376	1.138757221
377	1.138632869
378	1.138223935
379	1.137959562
380	1.137785677
381	1.137458795
382	1.137242436
383	1.1369026
384	1.136747845
385	1.136494624
386	1.136289351
387	1.13611193
388	1.135956507
389	1.135823155
390	1.13564565
391	1.135444218
392	1.135280778
393	1.135116038
394	1.134789813
395	1.134671212
396	1.134545359
397	1.13424401
398	1.134048301
399	1.133692679
400	1.133354209
401	1.132997973
402	1.13271514
403	1.132372881
404	1.132123847
405	1.131783754
406	1.13135858
407	1.131040519
408	1.13077518
409	1.130639808
410	1.130430788
411	1.130181473
412	1.130018071
413	1.129707443
414	1.129395726
415	1.129103695
416	1.12892573
417	1.128729397
418	1.128602721
419	1.128405912
420	1.128181194
421	1.127919754
422	1.127671633
423	1.127430256
424	1.127188777
425	1.127057759
426	1.12685927
427	1.126697271
428	1.126446929
429	1.126208365
430	1.12609181
431	1.125822376
432	1.125604887
433	1.125439291
434	1.125273398
435	1.125070757
436	1.124905328
437	1.124510368
438	1.124243313
439	1.123943814
440	1.12360926
